72# Number of electrodes
# x z position for each electrode
0.000000	0.000000
2.000000	0.000000
4.000000	0.000000
6.000000	0.000000
8.000000	0.000000
10.000000	0.000000
12.000000	0.000000
14.000000	0.000000
16.000000	0.000000
18.000000	0.000000
20.000000	0.000000
22.000000	0.000000
24.000000	0.000000
26.000000	0.000000
28.000000	0.000000
30.000000	0.000000
32.000000	0.000000
34.000000	0.000000
36.000000	0.000000
38.000000	0.000000
40.000000	0.000000
42.000000	0.000000
44.000000	0.000000
46.000000	0.000000
48.000000	0.000000
50.000000	0.000000
52.000000	0.000000
54.000000	0.000000
56.000000	0.000000
58.000000	0.000000
60.000000	0.000000
62.000000	0.000000
64.000000	0.000000
66.000000	0.000000
68.000000	0.000000
70.000000	0.000000
72.000000	0.000000
74.000000	0.000000
76.000000	0.000000
78.000000	0.000000
80.000000	0.000000
82.000000	0.000000
84.000000	0.000000
86.000000	0.000000
88.000000	0.000000
90.000000	0.000000
92.000000	0.000000
94.000000	0.000000
96.000000	0.000000
98.000000	0.000000
100.000000	0.000000
102.000000	0.000000
104.000000	0.000000
106.000000	0.000000
108.000000	0.000000
110.000000	0.000000
112.000000	0.000000
114.000000	0.000000
116.000000	0.000000
118.000000	0.000000
120.000000	0.000000
122.000000	0.000000
124.000000	0.000000
126.000000	0.000000
128.000000	0.000000
130.000000	0.000000
132.000000	0.000000
134.000000	0.000000
136.000000	0.000000
138.000000	0.000000
140.000000	0.000000
142.000000	0.000000
2875# Number of data
# a b m n i/mA u/mV
1	2	3	4	337.170431	-668.391970
1	2	4	5	337.170431	-144.123624
1	2	5	6	337.170431	-47.147947
1	2	6	7	337.170431	-22.037874
1	2	7	8	337.170431	-11.867717
1	2	8	9	337.170431	-7.265462
1	3	9	11	302.217875	-18.444330
1	3	11	13	302.217875	-9.123349
1	3	13	15	302.217875	-5.892842
1	3	15	10	302.217875	22.560540
1	3	10	12	302.217875	-12.613264
1	3	12	14	302.217875	-7.067822
1	3	14	16	302.217875	-5.049345
1	4	15	18	321.009816	-9.875100
1	4	18	21	321.009816	-6.264758
1	4	21	16	321.009816	12.398767
1	4	16	19	321.009816	-8.777920
1	4	19	22	321.009816	-4.995960
1	4	22	17	321.009816	10.255532
1	4	17	20	321.009816	-7.206741
1	4	20	23	321.009816	-4.287456
1	5	21	25	344.507009	-7.003404
1	5	25	29	344.507009	-3.996786
1	5	29	22	344.507009	8.868081
1	5	22	26	344.507009	-6.047865
1	5	26	30	344.507009	-3.582689
1	5	30	23	344.507009	7.714118
1	5	23	27	344.507009	-5.193581
1	5	27	24	344.507009	3.623299
1	5	24	28	344.507009	-4.548247
1	6	27	32	344.000987	-5.098432
1	6	32	37	344.000987	-3.233465
1	6	37	28	344.000987	7.116032
1	6	28	33	344.000987	-4.606272
1	6	33	29	344.000987	3.515068
1	6	29	34	344.000987	-4.193253
1	6	34	30	344.000987	3.193198
1	6	30	35	344.000987	-3.798738
1	6	35	31	344.000987	2.890903
1	6	31	36	344.000987	-3.509001
1	7	33	39	317.696269	-4.228316
1	7	39	34	317.696269	3.443860
1	7	34	40	317.696269	-4.024256
1	7	40	35	317.696269	3.323139
1	7	35	41	317.696269	-3.902631
1	7	41	36	317.696269	3.183101
1	7	36	42	317.696269	-3.746261
1	7	42	37	317.696269	3.039499
1	7	37	43	317.696269	-3.547711
1	7	38	44	316.032572	-3.390848
1	8	39	46	344.828756	-4.846201
1	8	46	40	344.828756	4.076093
1	8	40	47	344.828756	-4.504399
1	8	47	41	344.828756	3.745825
1	8	41	48	344.828756	-4.137853
1	8	48	42	344.828756	3.401993
1	8	42	49	344.828756	-3.822419
1	8	49	43	344.828756	3.159934
1	8	43	50	344.828756	-3.611007
1	8	44	51	340.467316	-3.297773
1	9	45	53	350.975169	-4.061586
1	9	53	46	350.975169	3.400813
1	9	46	54	350.975169	-3.774373
1	9	54	47	350.975169	3.241276
1	9	47	55	350.975169	-3.596983
1	9	55	48	350.975169	3.130914
1	9	48	56	350.975169	-3.424398
1	9	56	49	350.975169	2.922810
1	9	49	57	350.975169	-3.220318
1	9	50	58	345.956848	-2.996453
