68# Number of electrodes
# x z position for each electrode
0.000000	0.000000
2.000000	0.000000
4.000000	0.000000
6.000000	0.000000
8.000000	0.000000
10.000000	0.000000
12.000000	0.000000
14.000000	0.000000
16.000000	0.000000
18.000000	0.000000
20.000000	0.000000
22.000000	0.000000
24.000000	0.000000
26.000000	0.000000
28.000000	0.000000
30.000000	0.000000
32.000000	0.000000
34.000000	0.000000
36.000000	0.000000
38.000000	0.000000
40.000000	0.000000
42.000000	0.000000
44.000000	0.000000
46.000000	0.000000
48.000000	0.000000
50.000000	0.000000
52.000000	0.000000
54.000000	0.000000
56.000000	0.000000
58.000000	0.000000
60.000000	0.000000
62.000000	0.000000
64.000000	0.000000
66.000000	0.000000
68.000000	0.000000
70.000000	0.000000
72.000000	0.000000
74.000000	0.000000
76.000000	0.000000
78.000000	0.000000
80.000000	0.000000
82.000000	0.000000
84.000000	0.000000
86.000000	0.000000
88.000000	0.000000
90.000000	0.000000
92.000000	0.000000
94.000000	0.000000
96.000000	0.000000
98.000000	0.000000
100.000000	0.000000
102.000000	0.000000
104.000000	0.000000
106.000000	0.000000
108.000000	0.000000
110.000000	0.000000
112.000000	0.000000
114.000000	0.000000
116.000000	0.000000
118.000000	0.000000
120.000000	0.000000
122.000000	0.000000
124.000000	0.000000
126.000000	0.000000
128.000000	0.000000
130.000000	0.000000
132.000000	0.000000
134.000000	0.000000
1848# Number of data
# a b m n i/mA u/mV
1	2	3	4	362.351054	-947.916462
1	2	4	5	362.351054	-190.659955
1	2	5	6	362.351054	-62.652450
1	2	6	7	362.351054	-27.781357
1	2	7	8	362.351054	-13.945017
1	2	8	9	362.351054	-7.789089
1	2	9	10	362.351054	-4.841139
1	2	10	11	362.351054	-3.506203
1	2	11	12	362.351054	-2.645669
1	2	12	13	362.351054	-1.944462
1	2	13	14	362.351054	-1.784230
1	2	14	15	362.351054	-1.331199
1	2	15	16	362.351054	-0.944554
1	2	16	17	362.351054	-1.015550
1	2	17	18	362.351054	-0.756611
1	2	18	19	362.351054	-0.646109
1	2	19	20	362.351054	-0.552155
1	2	20	21	362.351054	-0.446210
1	3	19	21	350.973134	-2.094981
1	3	21	23	350.973134	-1.495857
1	3	23	25	350.973134	-1.264256
1	3	25	27	350.973134	-0.912808
1	3	27	29	350.973134	-0.745410
1	3	29	31	350.973134	-0.633974
1	3	31	33	350.973134	-0.547827
1	3	33	20	350.973134	6.546648
1	3	20	22	350.973134	-1.764253
1	3	22	24	350.973134	-1.361061
1	3	24	26	350.973134	-1.047225
1	3	26	28	350.973134	-0.830813
1	3	28	30	350.973134	-0.685099
1	3	30	32	350.973134	-0.582479
2	3	4	5	336.582530	-789.850334
2	3	5	6	336.582530	-168.226436
2	3	6	7	336.582530	-59.364295
2	3	7	8	336.582530	-24.575912
2	3	8	9	336.582530	-12.545528
2	3	9	10	336.582530	-7.087610
2	3	10	11	336.582530	-4.588419
2	3	11	12	336.582530	-3.147664
2	3	12	13	336.582530	-2.778692
2	3	13	14	336.582530	-1.538844
2	3	14	15	336.582530	-1.725932
2	3	15	16	336.582530	-1.356786
2	3	16	17	336.582530	-0.831701
2	3	17	18	336.582530	-0.832950
2	3	18	19	336.582530	-0.716904
2	3	19	20	336.582530	-0.592624
2	3	20	21	336.582530	-0.478049
2	3	21	22	336.582530	-0.419794
2	4	20	22	358.407735	-2.093019
2	4	22	24	358.407735	-1.551217
2	4	24	26	358.407735	-1.219051
2	4	26	28	358.407735	-0.940801
2	4	28	30	358.407735	-0.742361
2	4	30	32	358.407735	-0.663709
2	4	32	34	358.407735	-0.612543
2	4	34	21	358.407735	6.718916
2	4	21	23	358.407735	-1.750894
2	4	23	25	358.407735	-1.464057
2	4	25	27	358.407735	-1.036500
2	4	27	29	358.407735	-0.858294
2	4	29	31	358.407735	-0.677821
2	4	31	33	358.407735	-0.611204
2	6	31	35	334.654083	-2.442355
2	6	35	39	334.654083	-1.861728
2	6	39	43	334.654083	-1.396001
2	6	43	32	334.654083	5.085255
2	6	32	36	334.654083	-2.341944
2	6	36	40	334.654083	-1.705515
2	6	40	44	334.654083	-1.364170
2	6	44	48	334.654083	-1.059012
2	6	48	52	334.654083	-0.842175
2	6	52	33	334.654083	6.712185
2	6	33	37	334.654083	-2.235695
2	6	37	41	334.654083	-1.561855
2	6	41	34	334.654083	3.170913
2	6	34	38	334.654083	-2.075320
2	6	38	42	334.654083	-1.444642
2	6	42	46	334.654083	-1.263157
2	6	46	50	334.654083	-0.881641
2	6	50	54	334.654083	-0.762721
3	4	5	6	347.143758	-781.942350
3	4	6	7	347.143758	-178.879233
3	4	7	8	347.143758	-60.205330
3	4	8	9	347.143758	-24.868225
3	4	9	10	347.143758	-12.641781
3	4	10	11	347.143758	-7.519583
3	4	11	12	347.143758	-5.060304
3	4	12	13	347.143758	-3.448236
3	4	13	14	347.143758	-2.810447
3	4	14	15	347.143758	-1.804461
3	4	15	16	347.143758	-1.502348
3	4	16	17	347.143758	-1.326573
3	4	17	18	347.143758	-0.893394
3	4	18	19	347.143758	-1.050153
3	4	19	20	347.143758	-0.709074
3	4	20	21	347.143758	-0.583632
3	4	21	22	347.143758	-0.500801
3	4	22	23	347.143758	-0.406205
3	5	21	23	303.390625	-1.703492
3	5	23	25	303.390625	-1.370446
3	5	25	27	303.390625	-0.972976
3	5	27	29	303.390625	-0.777445
3	5	29	31	303.390625	-0.657003
3	5	31	33	303.390625	-0.553805
3	5	33	35	303.390625	-0.554515
3	5	35	22	303.390625	5.644865
3	5	22	24	303.390625	-1.505732
3	5	24	26	303.390625	-1.126587
3	5	26	28	303.390625	-0.878070
3	5	28	30	303.390625	-0.715329
3	5	30	32	303.390625	-0.589852
3	5	32	34	303.390625	-0.562023
4	5	6	7	316.210958	-719.660050
4	5	7	8	316.210958	-151.979061
4	5	8	9	316.210958	-51.786861
4	5	9	10	316.210958	-21.432900
4	5	10	11	316.210958	-11.495056
4	5	11	12	316.210958	-6.634224
4	5	12	13	316.210958	-4.577028
4	5	13	14	316.210958	-3.123278
4	5	14	15	316.210958	-2.292688
4	5	15	16	316.210958	-1.867094
4	5	16	17	316.210958	-1.281039
4	5	17	18	316.210958	-1.283143
4	5	18	19	316.210958	-0.727792
4	5	19	20	316.210958	-0.766666
4	5	20	21	316.210958	-0.589081
4	5	21	22	316.210958	-0.534546
4	5	22	23	316.210958	-0.410845
4	5	23	24	316.210958	-0.413204
4	6	22	24	345.661896	-1.906733
4	6	24	26	345.661896	-1.398390
4	6	26	28	345.661896	-1.075595
4	6	28	30	345.661896	-0.868163
4	6	30	32	345.661896	-0.706428
4	6	32	34	345.661896	-0.676248
4	6	34	36	345.661896	-0.607527
4	6	36	23	345.661896	6.284292
4	6	23	25	345.661896	-1.730767
4	6	25	27	345.661896	-1.197280
4	6	27	29	345.661896	-0.940180
4	6	29	31	345.661896	-0.803142
4	6	31	33	345.661896	-0.666360
4	6	33	35	345.661896	-0.661154
4	8	33	37	345.706319	-2.653848
4	8	37	41	345.706319	-1.808243
4	8	41	45	345.706319	-1.509935
4	8	45	34	345.706319	5.220238
4	8	34	38	345.706319	-2.443120
4	8	38	42	345.706319	-1.666003
4	8	42	46	345.706319	-1.435885
4	8	46	50	345.706319	-0.989423
4	8	50	54	345.706319	-0.845791
4	8	54	35	345.706319	6.683505
4	8	35	39	345.706319	-2.192729
4	8	39	43	345.706319	-1.603199
4	8	43	36	345.706319	3.174004
4	8	36	40	345.706319	-1.984618
4	8	40	44	345.706319	-1.560922
4	8	44	48	345.706319	-1.194848
4	8	48	52	345.706319	-0.939551
4	8	52	56	345.706319	-0.697737
4	12	52	60	371.674683	-3.375576
4	12	60	68	371.674683	-2.623085
4	12	68	54	371.674683	5.079060
4	12	54	62	371.674683	-3.284906
