Idx,X,Y,Z
0,2549047.136,5569437.115,451.9128860878599
1,2549048.620588235,5569435.81582353,451.80474370555885
2,2549050.1051764707,5569434.5166470595,451.7212799195794
3,2549051.589764706,5569433.217470588,451.617001280921
4,2549053.074352941,5569431.918294118,451.46929583732333
5,2549054.558941176,5569430.619117647,451.33668505764024
6,2549056.043529412,5569429.319941177,451.24243139592375
7,2549057.528117647,5569428.020764706,451.148229041954
8,2549059.012705882,5569426.721588235,451.05402668797336
9,2549060.4972941177,5569425.422411765,450.9547535198093
10,2549061.981882353,5569424.123235295,450.83130543690413
11,2549063.466470588,5569422.824058823,450.70743557611183
12,2549064.9510588236,5569421.524882353,450.5799956184235
13,2549066.4356470588,5569420.225705883,450.4595485479074
14,2549067.920235294,5569418.926529412,450.33070490790806
15,2549069.404823529,5569417.627352941,450.1981064890744
16,2549070.8894117647,5569416.3281764705,450.03747379654794
17,2549072.374,5569415.029,449.8930881540141
18,2549073.8325,5569413.973888889,449.7526644654933
19,2549075.2909999997,5569412.918777778,449.62677431503045
20,2549076.7495,5569411.863666667,449.4907785375631
21,2549078.2079999996,5569410.8085555555,449.2862938083464
22,2549079.6665,5569409.753444444,449.1448016065345
23,2549081.125,5569408.698333333,449.0076540495417
24,2549082.5834999997,5569407.643222222,448.8496545063703
25,2549084.042,5569406.588111111,448.65121585195516
26,2549085.5005,5569405.533,448.48358207864965
27,2549086.959,5569404.477888889,448.301420528971
28,2549088.4175,5569403.422777778,448.09574866554914
29,2549089.8759999997,5569402.367666666,447.9510300492536
30,2549091.3345,5569401.312555555,447.8012928423658
31,2549092.793,5569400.257444444,447.6035196415619
32,2549094.2515,5569399.202333333,447.40144171990937
33,2549095.71,5569398.147222222,447.1978996258541
34,2549097.1684999997,5569397.092111111,446.9976997427604
35,2549098.627,5569396.037,446.7844190982663
36,2549100.3455555555,5569394.357222222,446.4953879953196
37,2549102.064111111,5569392.677444444,446.1891282044221
38,2549103.7826666664,5569390.997666666,445.83533876963986
39,2549105.501222222,5569389.3178888885,446.10000232487914
40,2549107.219777778,5569387.638111111,445.5013894175727
41,2549108.9383333335,5569385.958333333,444.8113272451857
42,2549110.6568888887,5569384.278555555,444.39718879182595
43,2549112.3754444444,5569382.5987777775,444.03977990722484
44,2549114.094,5569380.919,443.6317102981486
45,2549116.3025,5569378.101833333,442.9129023681622
46,2549118.511,5569375.284666667,442.2325113808472
47,2549120.7195,5569372.467499999,441.44951149534165
48,2549122.9280000003,5569369.650333333,440.7512477740081
49,2549125.1365,5569366.833166666,439.97417674265324
50,2549127.345,5569364.016,439.3001503438371
51,2549128.32152381,5569362.948238095,439.01451446494764
52,2549129.2980476194,5569361.880476191,438.6912411851351
53,2549130.2745714285,5569360.812714285,438.3983095752636
54,2549131.251095238,5569359.744952381,438.11426497072864
55,2549132.2276190477,5569358.677190476,437.7964923468891
56,2549133.2041428573,5569357.609428572,437.4787197230496
57,2549134.180666667,5569356.541666667,437.17927028967114
58,2549135.157190476,5569355.4739047615,436.91108017048
59,2549136.1337142857,5569354.406142857,436.6435969533844
60,2549137.1102380953,5569353.338380952,436.3727481255748
61,2549138.086761905,5569352.270619048,436.10189929776527
62,2549139.0632857145,5569351.202857143,435.8310504699557
63,2549140.039809524,5569350.135095239,435.56020164214607
64,2549141.016333333,5569349.067333333,435.2893528142533
65,2549141.992857143,5569347.999571429,435.01850398644376
66,2549142.9693809524,5569346.931809524,434.7476551586342
67,2549143.945904762,5569345.8640476195,434.4768063308246
68,2549144.9224285716,5569344.796285715,434.20595750301504
69,2549145.8989523808,5569343.728523809,433.9351086751222
70,2549146.8754761904,5569342.660761905,433.6642598473127
71,2549147.852,5569341.593,433.38866803951703
