X,Y,Z,F,noise
2549105.815,5569391.192,445.0,49805.1,3.28
2549117.101,5569390.914,444.375,49560.2,2.37
2549122.599,5569390.939,443.698,49437.1,2.17
2549128.94,5569390.7,442.722,49256.0,1.69
2549135.381,5569390.504,442.038,49089.6,1.21
2549141.72,5569390.346,441.301,48928.9,0.78
2549148.451,5569390.275,440.6,48584.9,0.51
2549155.153,5569390.159,439.865,48004.9,0.37
2549162.458,5569389.929,439.379,47996.0,0.34
2549168.878,5569389.856,438.529,48034.6,0.37
2549175.3,5569389.7,437.607,48032.8,0.37
2549041.2,5569390.5,455.007,48378.9,0.43
2549047.394,5569390.479,454.545,48500.4,0.44
2549053.438,5569390.568,453.672,48591.4,0.68
2549059.226,5569390.917,452.749,48733.0,0.69
2549065.217,5569391.072,451.752,48837.6,0.61
2549071.171,5569391.275,450.698,49068.4,0.97
2549077.329,5569391.492,449.488,49427.5,1.43
2549083.967,5569391.219,448.326,49661.7,3.07
2549090.338,5569391.389,447.415,49784.8,3.1
2549096.525,5569391.319,446.77,49841.3,2.97
2549105.879,5569401.486,446.206,49714.6,4.09
2549105.987,5569407.673,446.593,49730.8,2.94
2549105.642,5569414.011,446.851,49338.2,2.77
2549105.368,5569420.183,446.989,49114.2,1.46
2549105.263,5569426.094,447.034,49143.5,2.32
2549105.07,5569432.382,447.33,49258.9,2.46
2549104.964,5569438.256,447.665,49292.6,2.18
2549104.72,5569444.202,448.077,49129.3,1.03
2549104.621,5569450.379,448.686,48842.0,0.85
2549105.928,5569380.61,444.268,49625.0,4.4
2549106.061,5569374.904,443.334,49403.1,1.39
2549106.206,5569369.45,442.356,49115.0,1.18
2549106.464,5569363.636,441.409,48868.5,1.14
2549107.082,5569345.741,438.667,48139.1,2.04
2549107.222,5569339.663,437.759,48143.5,1.44
2549107.433,5569333.669,436.825,48159.0,0.5
2549107.677,5569327.718,435.84,48157.2,0.61
2549108.022,5569321.808,434.877,48165.4,0.34
2549098.27,5569398.614,446.966,49941.8,4.16
2549094.17,5569402.668,447.597,49921.3,4.18
2549090.041,5569406.757,448.03,49761.0,4.1
2549086.006,5569410.88,448.512,49626.4,3.38
2549081.695,5569414.992,448.911,49598.8,3.27
2549077.325,5569419.203,449.344,49330.5,1.41
2549072.977,5569423.673,449.822,49037.6,1.87
2549068.628,5569428.02,450.241,48840.8,1.24
2549064.133,5569432.153,450.614,48694.8,0.55
2549060.101,5569436.268,450.982,48580.2,0.61
2549056.013,5569440.375,451.416,48545.2,0.45
2549112.08,5569384.88,444.293,49636.8,2.16
2549116.175,5569380.607,443.289,49374.6,2.47
2549120.119,5569376.548,442.258,49158.9,3.12
2549124.643,5569372.079,440.917,49054.4,2.06
2549128.973,5569367.956,439.678,48697.3,1.59
2549133.329,5569363.531,438.501,48254.8,0.78
2549137.32,5569359.365,437.237,48087.4,0.82
2549112.476,5569397.701,445.162,49704.5,1.76
2549116.795,5569401.834,444.965,49613.5,2.7
2549121.059,5569406.234,444.825,49481.1,3.16
2549125.49,5569410.778,444.764,49234.4,2.44
2549129.633,5569415.077,444.584,49057.0,1.45
2549133.964,5569419.344,444.412,48867.1,0.63
2549138.348,5569423.862,444.261,48562.3,0.49
2549142.74,5569428.215,444.134,48448.4,0.82
2549147.218,5569432.708,444.149,48417.5,0.56
2549151.608,5569437.155,444.282,48403.8,0.48
2549090.709,5569382.756,446.858,49552.7,1.82
2549086.282,5569380.025,447.627,49505.6,2.88
2549081.904,5569377.319,447.797,49493.9,3.66
2549095.558,5569386.031,446.285,49685.0,4.37
2549097.468,5569394.677,446.844,49920.4,3.44
2549091.957,5569396.781,447.501,49904.9,2.79
2549085.903,5569399.177,448.217,49839.8,4.24
2549080.202,5569401.405,448.972,49714.5,2.23
2549074.818,5569403.486,449.59,49337.8,1.12
2549069.226,5569405.66,450.189,49039.4,0.53
2549063.639,5569407.889,450.722,48840.2,0.47
2549058.031,5569410.015,451.215,48704.1,0.5
2549052.319,5569412.412,451.713,48531.2,0.39
2549046.591,5569414.72,452.182,48395.1,0.5
2549115.214,5569387.292,444.293,49552.7,1.82
2549120.576,5569385.07,443.442,49408.6,0.97
2549125.546,5569383.06,442.578,49218.6,0.48
2549131.032,5569380.72,441.71,49098.5,0.75
2549136.548,5569378.562,440.715,48970.4,0.47
2549141.63,5569376.347,439.797,48658.1,0.6
2549147.313,5569374.032,438.874,48230.4,0.46
2549152.8,5569371.792,437.957,48052.7,0.3
2549158.268,5569369.626,436.954,48079.1,0.34
2549110.191,5569381.32,444.111,49648.7,2.18
2549112.527,5569375.866,443.016,49297.2,1.02
2549114.719,5569370.558,441.774,49109.4,0.46
2549116.933,5569365.64,440.728,48835.9,0.49
2549119.202,5569360.575,439.602,48410.0,0.42
2549121.284,5569355.226,438.457,48137.8,0.54
2549123.383,5569350.448,437.534,48168.7,0.53
2549125.766,5569345.303,436.463,48158.3,0.35
2549128.303,5569339.282,435.323,48164.7,0.38
2549130.417,5569333.875,434.153,48157.7,0.28
2549132.543,5569328.538,433.188,48188.9,0.39
2549135.262,5569322.505,431.996,48161.0,0.33
2549120.73,5569356.921,438.817,48177.5,0.37
2549120.099,5569358.514,439.159,48247.6,0.44
2549118.638,5569361.903,439.874,48520.9,0.57
2549117.83,5569363.386,440.253,48642.7,0.73
2549116.284,5569367.231,441.086,48946.1,0.46
2549115.687,5569368.549,441.334,49022.0,0.77
2549114.142,5569372.044,442.207,49163.5,0.79
2549113.329,5569374.059,442.734,49229.2,1.23
2549111.821,5569377.452,443.366,49365.7,1.65
2549111.161,5569379.427,443.755,49493.3,2.52
2549101.587,5569401.242,446.769,49901.0,2.54
2549098.899,5569407.396,447.418,49869.3,3.3
2549096.526,5569413.129,447.855,49578.0,2.33
2549094.208,5569418.759,448.202,49552.1,2.52
2549091.894,5569424.358,448.523,49510.1,2.72
2549090.107,5569428.752,448.766,49484.2,2.25
2549087.813,5569434.074,449.061,49343.7,1.47
2549086.679,5569439.654,449.355,49182.2,1.86
2549083.733,5569443.737,449.686,49020.2,0.74
2549098.166,5569408.997,447.591,49791.7,2.82
2549097.352,5569410.909,447.733,49673.2,2.5
2549089.309,5569430.555,448.902,49454.2,2.03
2549088.614,5569432.105,448.966,49412.5,1.57
2549087.201,5569435.798,449.133,49289.3,1.03
2549086.551,5569437.344,449.232,49242.3,1.1
2549109.728,5569401.078,445.824,49748.3,1.59
2549111.949,5569406.693,445.974,49630.9,1.74
2549114.187,5569412.472,446.021,49350.7,2.67
2549116.534,5569418.385,445.928,49040.7,1.44
2549118.973,5569424.039,445.826,48844.1,0.45
2549121.073,5569429.448,445.84,48722.5,0.86
2549123.393,5569435.066,445.925,48760.2,0.6
2549125.608,5569440.307,446.293,48745.6,0.47
2549127.709,5569445.778,446.693,48614.2,0.67
2549129.519,5569450.667,447.366,48560.4,0.68
2549112.744,5569408.623,445.986,49541.4,2.32
2549113.4,5569410.648,445.999,49444.3,2.97
2549115.026,5569414.414,445.991,49246.1,1.11
2549115.744,5569416.282,445.958,49141.0,0.61
2549117.614,5569420.951,445.892,48944.1,0.81
2549120.057,5569426.58,445.796,48766.3,0.76
2549101.98,5569381.745,444.864,49580.6,3.38
2549099.554,5569376.281,444.28,49383.6,0.74
2549097.192,5569370.41,443.92,49245.4,1.31
2549094.967,5569364.878,443.522,49101.6,1.05
2549093.031,5569359.879,442.927,48845.2,0.66
2549090.899,5569354.824,442.319,48401.4,0.53
2549088.401,5569349.14,441.658,48123.7,0.33
2549086.325,5569343.527,441.04,48121.8,0.36
2549084.17,5569337.782,440.397,48122.5,0.3
2549081.981,5569332.587,439.931,48133.4,0.34
2549079.932,5569327.645,439.482,48155.0,0.35
2549077.722,5569322.487,438.919,48154.5,0.39
2549075.415,5569317.09,438.391,48152.2,0.38
2549100.799,5569379.061,444.554,49426.2,1.24
2549098.434,5569373.22,444.11,49331.3,0.68
2549096.266,5569367.589,443.717,49147.2,0.92
2549093.874,5569362.256,443.245,48982.6,0.98
2549092.31,5569358.05,442.697,48712.7,0.65
2549091.74,5569356.332,442.461,48541.4,0.43
2549090.008,5569352.783,442.074,48224.5,0.46
2549089.342,5569350.85,441.813,48154.5,0.45
2549114.986,5569395.186,444.851,49642.5,2.11
2549120.362,5569397.502,444.383,49531.6,2.2
2549125.366,5569399.741,443.994,49431.8,1.28
2549130.856,5569402.066,443.658,49247.6,1.05
2549136.76,5569404.511,443.342,49020.8,0.67
2549142.723,5569407.147,442.908,48868.8,1.1
2549149.287,5569409.75,442.425,48736.6,0.74
2549155.661,5569412.465,442.072,48511.3,0.42
2549162.127,5569415.222,441.614,48219.6,0.4
2549168.584,5569417.898,441.278,48146.1,0.28
2549174.944,5569420.485,440.961,48174.6,0.38
2549165.457,5569416.783,441.449,48151.9,0.35
2549159.502,5569413.963,441.761,48334.7,0.43
2549157.949,5569413.489,441.878,48403.3,0.56
2549153.644,5569411.709,442.193,48596.8,0.67
2549151.719,5569410.867,442.306,48670.7,0.4
2549146.236,5569408.61,442.628,48796.6,0.51
2549139.884,5569405.991,443.125,48929.3,0.53
2549133.726,5569403.293,443.526,49134.9,1.15
2549128.455,5569400.986,443.749,49342.2,0.84
2549143.81,5569391.333,441.298,48870.2,0.52
2549145.62,5569391.366,441.098,48784.6,0.74
2549147.394,5569391.404,440.889,48679.5,0.42
2549150.464,5569391.435,440.581,48435.9,0.45
2549152.792,5569391.468,440.319,48190.2,0.37
2549075.455,5569391.213,449.943,49392.6,1.57
2549072.92,5569391.229,450.466,49212.9,1.94
2549067.509,5569391.072,451.428,48937.8,0.57
2549069.336,5569391.214,451.125,49028.8,1.01
2549105.773,5569409.315,446.733,49653.5,2.06
2549105.628,5569412.397,446.852,49460.3,0.71
2549105.555,5569417.306,446.999,49173.2,1.2
2549106.079,5569359.511,441.0,48633.1,0.44
2549106.113,5569354.416,440.295,48296.4,0.64
2549106.079,5569348.936,439.456,48159.6,0.37
2549072.149,5569404.557,449.957,49190.5,2.51
2549076.488,5569403.126,449.501,49459.1,0.51
2549078.537,5569402.272,449.187,49609.5,1.88
2549079.834,5569416.364,449.179,49533.3,1.47
2549077.808,5569418.228,449.374,49404.3,1.0
2549075.12,5569420.877,449.634,49208.4,1.02
2549073.345,5569422.46,449.841,49104.1,0.86
2549070.61,5569424.9,450.086,48961.0,0.67
2549114.663,5569382.203,443.793,49530.4,1.89
2549125.702,5569370.918,440.689,48994.9,0.54
2549127.375,5569369.011,440.082,48841.2,0.75
2549131.414,5569365.094,439.042,48426.4,0.34
2549129.756,5569366.633,439.479,48588.3,0.41
2549110.852,5569391.28,445.033,49721.4,1.03
2549108.696,5569391.26,445.252,49764.5,2.15
2549108.976,5569388.091,445.093,49744.3,2.05
2549105.839,5569386.011,445.187,49765.5,2.84
2549101.974,5569387.396,445.764,49778.2,2.17
2549100.904,5569391.218,446.268,49860.0,1.5
